imageid,count,lon,lat,t
24881054,0,-8238729.11975891,4974010.98289107,2016-11-18 13:48:14
21585990,0,-8237038.56631198,4974742.0591598,2016-11-03 09:09:02
8946167,2,-8235581.00455928,4972737.39405658,2016-08-29 14:23:14
7742498,1,-8230976.68570473,4983826.56918146,2016-08-17 09:45:56
10285270,0,-8237240.52213218,4971042.22152824,2016-08-30 09:08:34
26428747,1,-8236931.14300336,4974564.87562005,2016-11-30 13:37:40
10246981,1,-8237167.36296283,4971819.25723821,2016-08-31 17:47:36
29754360,0,-8231989.57061951,4977417.68755231,2016-12-13 08:37:06
24174793,4,-8235607.04218817,4975593.05215849,2016-11-15 13:09:48
27521269,0,-8235335.05527632,4978013.3249118,2016-12-05 00:34:18
7989872,1,-8236401.64071345,4971570.94632587,2016-08-18 15:45:52
36846904,2,-8235063.41345488,4981853.04905607,2017-01-26 11:56:20
14270449,1,-8235348.60285835,4980157.33805207,2016-09-22 15:52:58
38708303,0,-8232793.23055134,4978607.39640432,2017-02-06 14:28:52
43336387,0,-8235055.3650557,4976464.54638989,2017-03-06 08:25:48
12352109,3,-8235186.25451297,4977494.31911448,2016-09-15 13:03:32
14749834,0,-8236711.06437006,4970611.60448142,2016-09-23 11:55:48
34744713,0,-8232896.80220557,4978494.64101165,2017-01-13 08:14:58
34722340,0,-8230181.68642928,4989540.21028794,2017-01-13 10:35:16
12566818,2,-8238832.33519077,4970255.59856913,2016-09-16 12:34:14
21787055,0,-8236046.17531545,4979667.57535996,2016-11-03 18:21:00
35332423,0,-8232123.42117524,4980955.9472244,2017-01-17 09:07:16
19405223,0,-8235285.55149876,4981043.69236198,2016-10-21 14:25:36
35713209,0,-8238194.47450853,4971390.07478144,2017-01-19 11:32:26
8701083,1,-8238985.18798358,4968692.82132637,2016-08-26 18:07:20
28010784,0,-8231125.89835019,4983643.02927478,2016-12-07 09:09:00
16217975,0,-8235918.39167197,4970760.17909915,2016-09-29 08:40:34
20928640,0,-8233922.41093815,4977716.7215978,2016-10-28 16:57:32
15465817,1,-8238392.5452785,4969145.45444941,2016-09-26 09:02:48
38109339,0,-8236200.45299775,4975683.54110531,2017-02-03 12:44:40
15545858,1,-8234937.93412486,4972455.24395909,2016-09-26 16:12:00
35728318,0,-8235660.10818943,4975529.07265862,2017-01-18 10:09:42
24456230,0,-8234593.19992577,4981941.50804972,2016-11-17 17:55:38
5513543,1,-8233697.35632361,4976987.71539077,2016-07-18 17:52:04
6970023,0,-8232235.57556221,4982668.38430997,2016-08-08 14:11:02
19062008,0,-8235504.01599944,4973997.98040167,2016-10-14 08:11:16
28484683,1,-8238267.05481652,4971141.02569286,2016-12-08 13:20:40
20677771,0,-8237363.87525992,4974539.78014332,2016-10-28 14:07:00
37689238,0,-8237337.16971408,4975111.95245835,2017-01-31 10:00:34
35671712,1,-8237299.96674026,4972083.90882548,2017-01-19 13:48:40
2921432,0,-8230366.14282552,4989819.60233981,2016-06-03 08:50:08
37909580,0,-8233929.36840633,4977363.17574635,2017-02-01 07:44:30
7585588,0,-8235455.91484747,4972159.00026264,2016-08-15 15:41:00
20596875,0,-8235910.61043957,4972908.91803166,2016-10-27 13:24:16
7097352,0,-8234139.03866723,4981596.10198686,2016-08-09 13:26:24
33178164,0,-8231913.09412933,4987495.95914872,2017-01-06 14:27:06
23204176,0,-8235373.88351471,4977202.18471482,2016-11-11 00:14:10
26890839,0,-8236600.5686435,4977168.52890057,2016-12-02 11:58:18
41519864,2,-8235974.99763304,4975248.42890127,2017-02-20 09:40:26
8356801,0,-8234693.95519689,4977728.52382719,2016-08-25 08:56:18
1570206,1,-8236815.7714831,4977019.16609002,2016-06-29 17:58:46
36408693,0,-8233190.58547373,4977951.31379144,2017-01-23 10:36:24
25458153,0,-8236621.38538828,4977259.98774411,2016-11-25 12:32:10
603211,0,-8236787.58538804,4969630.18161502,2016-07-06 15:17:26
20346570,1,-8234575.29975165,4976655.75502564,2016-10-27 12:52:32
